lng,lat,distance,time
113.789209079,31.8453761739,62695,5763
113.789207214,31.8653802026,77963,6444
113.789205347,31.8853844205,68078,6816
113.789203479,31.9053887981,64151,6288
113.789201609,31.925393305,67466,6775
113.789199738,31.9453979105,67286,6791
113.789197865,31.9654025833,61298,5903
113.789195991,31.9854072919,57980,5541
113.789194115,32.0054120044,57607,5513
113.789192238,32.025416689,48462,4938
113.789190359,32.0454213138,46805,4598
113.789188478,32.0654258469,43163,3847
113.789186596,32.085430257,39557,3509
113.789184713,32.105434513,37698,3274
113.789182828,32.1254385842,34945,3105
113.789180941,32.1454424405,32891,2957
113.789179053,32.1654460528,34483,3182
113.789177163,32.1854493924,39634,4432
113.789175272,32.205452432,38220,3575
113.789173379,32.2254551448,41730,3486
113.789171485,32.2454575057,41571,3363
113.789169589,32.2654594902,37571,2952
113.789167692,32.2854610757,37181,2926
113.789165793,32.3054622406,37610,3344
113.789163892,32.3254629649,42563,3888
113.78916199,32.3454632302,43617,3995
113.789160087,32.3654630195,48287,4512
113.789158182,32.3854623178,48923,4655
113.789156275,32.4054611114,50952,4872
113.789154367,32.4254593888,53506,5210
113.809262069,31.845409547,62695,5762
113.809260215,31.8654135753,69000,7004
113.809258359,31.8854177928,68738,6934
113.809256502,31.9054221698,65310,6488
113.809254643,31.9254266763,60859,5844
113.809252783,31.9454312813,59278,5757
113.809250921,31.9654359537,63423,6115
113.809249058,31.9854406618,62194,5985
113.809247193,32.0054453739,54802,5156
113.809245327,32.025450058,50592,5486
113.809243459,32.0454546823,47729,4634
113.80924159,32.065459215,44882,4113
113.809239719,32.0854636246,43411,4046
113.809237847,32.1054678801,40286,3551
113.809235973,32.1254719508,34010,4026
113.809234097,32.1454758067,31296,2883
113.80923222,32.1654794185,34051,3303
113.809230342,32.1854827577,36924,3736
113.809228462,32.2054857967,36433,3487
113.80922658,32.2254885092,40449,3214
113.809224697,32.2454908695,38781,2997
113.809222813,32.2654928536,35661,2864
113.809220927,32.2854944386,34535,2726
113.809219039,32.305495603,35532,3021
113.80921715,32.3254963269,44433,4140
113.809215259,32.3454965917,51898,4883
113.809213367,32.3654963806,50468,4687
113.809211473,32.3854956783,50840,4694
113.809209577,32.4054944715,52245,4918
113.809207681,32.4254927485,56228,5514
113.829320068,31.8454468912,55448,5444
113.829318226,31.865450919,53604,4932
113.829316382,31.885455136,52431,5235
113.829314537,31.9054595126,66315,6675
113.829312691,31.9254640186,59115,5580
113.829310843,31.9454686232,57324,5291
113.829308993,31.9654732951,55645,5273
113.829307142,31.9854780027,52536,4723
113.829305289,32.0054827143,51903,5128
113.829303435,32.0254873979,51491,4706
113.82930158,32.0454920217,42299,4132
113.829299723,32.0654965539,39792,3821
113.829297864,32.0855009631,42230,4016
113.829296004,32.1055052181,44369,4528
113.829294142,32.1255092883,32487,3025
113.829292279,32.1455131437,29598,2836
113.829290414,32.1655167551,29043,2600
113.829288548,32.1855200938,36002,3467
113.82928668,32.2055231324,33393,3245
113.829284811,32.2255258443,38600,2951
113.82928294,32.2455282042,36312,2787
113.829281068,32.2655301878,34165,2654
113.829279194,32.2855317723,32909,2586
113.829277319,32.3055329363,35240,2870
113.829275442,32.3255336596,38200,3196
113.829273564,32.3455339239,41793,3407
113.829271684,32.3655337123,47591,3868
113.829269803,32.3855330096,48311,3866
113.82926792,32.4055318024,49379,4121
113.829266035,32.4255300788,47674,3677
113.849375847,31.8454820631,51478,4459
113.849374016,31.8654860904,50392,4438
113.849372184,31.885490307,52431,5235
113.849370351,31.9054946831,42903,3591
113.849368516,31.9254991886,43275,4089
113.849366679,31.9455037927,54984,5051
113.849364841,31.9655084641,54484,4928
113.849363002,31.9855131713,51999,4608
113.849361161,32.0055178824,49677,4411
113.849359319,32.0255225655,48528,4167
113.849357475,32.0455271889,47362,4060
113.849355629,32.0655317206,40214,3826
113.849353783,32.0855361293,36560,3378
113.849351934,32.1055403839,31094,2861
113.849350084,32.1255444536,29861,2621
113.849348233,32.1455483085,28216,2521
113.84934638,32.1655519194,25247,2177
113.849344526,32.1855552576,29842,2624
113.84934267,32.2055582957,31708,3289
113.849340812,32.2255610072,31094,2405
113.849338954,32.2455633666,28866,2239
113.849337093,32.2655653498,29709,3939
113.849335231,32.2855669338,33783,2532
113.849333368,32.3055680973,35766,3030
113.849331503,32.3255688202,37680,3092
113.849329636,32.345569084,41559,3662
113.849327768,32.3655688719,45320,3683
113.849325899,32.3855681688,46711,3851
113.849324028,32.405566961,46154,3579
113.849322155,32.425565237,46779,3441
113.869422294,31.8455090208,47046,3917
113.869420473,31.8655130477,44024,3613
113.86941865,31.8855172638,42892,3554
113.869416826,31.9055216394,42852,3584
113.869415001,31.9255261445,43275,4089
113.869413174,31.9455307481,44712,4593
113.869411346,31.9655354191,43406,4065
113.869409516,31.9855401258,42557,3829
113.869407685,32.0055448365,44587,4084
113.869405852,32.0255495192,46604,3970
113.869404018,32.0455541421,45161,3740
113.869402182,32.0655586734,37374,3413
113.869400345,32.0855630817,34842,3345
113.869398507,32.1055673357,32302,2832
113.869396667,32.125571405,30003,2843
113.869394825,32.1455752595,26342,2316
113.869392982,32.1655788699,23179,2021
113.869391137,32.1855822077,31610,3177
113.869389291,32.2055852454,30028,3022
113.869387443,32.2255879564,28354,2376
113.869385594,32.2455903154,26920,2119
113.869383744,32.2655922981,29949,3458
113.869381892,32.2855938817,36486,2783
113.869380038,32.3055950447,37671,3089
113.869378183,32.3255957672,39211,3276
113.869376326,32.3455960306,40963,3548
113.869374468,32.365595818,48467,3530
113.869372609,32.3855951144,45887,3254
113.869370747,32.4055939062,43578,3101
113.869368885,32.4255921818,43836,3205
113.889453429,31.8455226894,47466,3964
113.889451614,31.8655267159,44173,3630
113.889449798,31.8855309315,40731,3394
113.889447981,31.9055353068,41540,3478
113.889446162,31.9255398115,43971,4271
113.889444341,31.9455444147,37647,3358
113.889442519,31.9655490853,41089,3153
113.889440696,31.9855537916,40817,3607
113.889438871,32.0055585018,39770,3209
113.889437045,32.0255631842,42225,3430
113.889435217,32.0455678066,42596,3458
113.889433388,32.0655723375,37445,3240
113.889431557,32.0855767454,36258,3212
113.889429725,32.1055809991,35212,3131
113.889427891,32.125585068,29597,3385
113.889426056,32.1455889221,21283,2032
113.889424219,32.165592532,21847,1947
113.889422381,32.1855958694,24660,2190
113.889420541,32.2055989067,28712,2940
113.8894187,32.2256016173,26186,2705
113.889416857,32.2456039759,25206,2921
113.889415013,32.2656059582,28474,3303
113.889413167,32.2856075414,32156,3742
113.88941132,32.305608704,39469,3231
113.889409471,32.325609426,42433,3943
113.889407621,32.345609689,40230,3640
113.88940577,32.3656094761,45083,3052
113.889403916,32.3856087721,46211,3283
113.889402062,32.4056075635,42849,3062
113.889400206,32.4256058386,42305,3081
113.909465263,31.8455196932,37669,2889
113.909463451,31.8655237193,36618,2882
113.909461637,31.8855279346,39130,3163
113.909459822,31.9055323095,36714,2719
113.909458005,31.9255368138,35997,3014
113.909456186,31.9455414167,35694,3113
113.909454367,31.9655460869,39166,2991
113.909452545,31.9855507929,38990,3230
113.909450723,32.0055555028,39598,3171
113.909448898,32.0255601848,39423,3119
113.909447073,32.0455648069,44562,3810
113.909445246,32.0655693374,40078,3681
113.909443417,32.0855737449,41188,4381
113.909441587,32.1055779983,40338,4457
113.909439755,32.1255820668,20651,2473
113.909437922,32.1455859206,18760,1777
113.909436088,32.1655895302,20197,2040
113.909434251,32.1855928673,19145,2023
113.909432414,32.2055959042,28545,2788
113.909430575,32.2255986144,24888,2505
113.909428734,32.2456009726,23396,2423
113.909426892,32.2656029546,25567,2423
113.909425049,32.2856045374,31169,3125
113.909423204,32.3056056997,31984,3241
113.909421358,32.3256064214,38193,3173
113.90941951,32.345606684,37880,3133
113.90941766,32.3656064707,38231,3170
113.909415809,32.3856057664,40935,2781
113.909413957,32.4056045574,40037,2804
113.909412103,32.4256028322,40930,2827
113.929456378,31.8454988521,38183,3158
113.929454563,31.865502878,34712,2658
113.929452747,31.885507093,33821,2477
113.929450929,31.9055114676,34203,2640
113.92944911,31.9255159716,31517,2996
113.929447289,31.9455205742,32843,2881
113.929445467,31.9655252441,33348,2663
113.929443644,31.9855299498,34091,2690
113.929441819,32.0055346594,38528,3196
113.929439992,32.0255393411,44013,4036
113.929438164,32.0455439629,44534,4138
113.929436334,32.0655484932,46909,4771
113.929434503,32.0855529004,43912,5044
113.929432671,32.1055571534,44872,5282
113.929430837,32.1255612217,18607,2135
113.929429002,32.1455650751,16882,1617
113.929427165,32.1655686845,15874,1643
113.929425326,32.1855720212,17924,1762
113.929423486,32.2055750578,28292,3046
113.929421645,32.2255777678,26821,2682
113.929419802,32.2455801257,21344,1932
113.929417958,32.2655821073,24963,2540
113.929416112,32.2855836899,29291,2976
113.929414264,32.3055848519,31789,3225
113.929412416,32.3255855733,37296,3120
113.929410565,32.3455858356,34116,2846
113.929408713,32.3655856221,36573,3012
113.92940686,32.3855849174,40459,2737
113.929405005,32.4055837081,37293,2461
113.929403149,32.4255819826,39178,2692
113.949428149,31.8454613722,37794,3144
113.949426328,31.8654653978,35782,3103
113.949424505,31.8854696126,31759,2410
113.949422681,31.905473987,30547,2281
113.949420855,31.9254784907,27692,2173
113.949419028,31.9454830931,30009,2373
113.949417199,31.9654877628,32127,2507
113.949415369,31.9854924682,35488,2805
113.949413537,32.0054971776,40930,3960
113.949411704,32.025501859,45134,4411
113.94940987,32.0455064806,47232,4887
113.949408034,32.0655110106,47818,4994
113.949406196,32.0855154175,45512,5534
113.949404357,32.1055196703,45821,5639
113.949402516,32.1255237384,18861,2625
113.949400674,32.1455275916,17399,1968
113.949398831,32.1655312007,14503,1445
113.949396986,32.1855345372,20939,1713
113.949395139,32.2055375736,21970,1959
113.949393291,32.2255402833,19549,1672
113.949391442,32.2455426409,22391,2260
113.949389591,32.2655446223,26149,2477
113.949387738,32.2855462047,29130,2912
113.949385884,32.3055473664,31987,3195
113.949384029,32.3255480876,33708,2802
113.949382172,32.3455483497,32649,2798
113.949380313,32.3655481358,42642,2936
113.949378453,32.3855474309,40921,2783
113.949376592,32.4055462214,38106,2527
113.949374728,32.4255444957,39491,2634
113.96938458,31.8454107024,40469,4236
113.969382749,31.8654147277,34936,2768
113.969380917,31.8854189423,32124,2615
113.969379082,31.9054233165,30886,2429
113.969377247,31.9254278201,26656,2106
113.96937541,31.9454324222,24674,2079
113.969373571,31.9654370917,23034,1980
113.969371731,31.9854417969,20390,1734
113.96936989,32.0054465061,21702,2112
113.969368047,32.0254511873,17976,1943
113.969366202,32.0454558087,16897,3224
113.969364356,32.0654603385,16391,2169
113.969362508,32.0854647453,16063,2419
113.969360659,32.1054689979,15650,1996
113.969358809,32.1254730657,12653,1842
113.969356957,32.1454769187,11406,1194
113.969355103,32.1654805276,13230,1488
113.969353248,32.1854838639,14000,1480
113.969351392,32.2054869001,17493,1441
113.969349534,32.2254896096,16357,1381
113.969347674,32.2454919671,19299,2036
113.969345813,32.2654939483,24429,2345
113.969343951,32.2854955304,25600,2372
113.969342087,32.3054966919,27144,2739
113.969340221,32.3254974129,30865,2595
113.969338354,32.3454976748,33340,2784
113.969336485,32.3654974608,34178,3299
113.969334615,32.3854967557,43112,2946
113.969332744,32.405495546,40029,2693
113.969330871,32.42549382,41827,2819
113.989331767,31.8453520781,38029,3005
113.989329924,31.8653561033,35774,3382
113.98932808,31.8853603177,32834,2581
113.989326234,31.9053646917,32772,2579
113.989324386,31.9253691951,34083,2682
113.989322537,31.9453737971,25932,2065
113.989320687,31.9653784664,22416,1888
113.989318835,31.9853831714,20699,1896
113.989316981,32.0053878804,17316,1503
113.989315126,32.0253925615,16137,1460
113.98931327,32.0453971827,15613,2300
113.989311412,32.0654017123,15361,2397
113.989309553,32.0854061189,14254,1913
113.989307692,32.1054103713,15292,1667
113.989305829,32.125414439,9869,1175
113.989303965,32.1454182918,9852,1076
113.9893021,32.1654219005,11062,1005
113.989300233,32.1854252367,12845,1271
113.989298364,32.2054282727,14307,1243
113.989296494,32.225430982,15385,1368
113.989294622,32.2454333393,18613,1592
