lng,lat,distance,time
113.589292395,31.6455041123,126749,8344
113.589290563,31.6655048489,105359,7443
113.58928873,31.6855060109,106492,7587
113.589286895,31.7055075808,105442,7060
113.589285058,31.7255095396,106253,7268
113.58928322,31.7455118669,108813,7526
113.589281381,31.7655145406,87565,6991
113.58927954,31.7855175375,85511,6700
113.589277697,31.8055208328,87201,6691
113.589275853,31.8255244009,88285,6826
113.589274008,31.8455282148,90739,6943
113.589272161,31.8655322467,93531,6963
113.589270312,31.8855364678,105348,7498
113.589268462,31.9055408484,105717,7580
113.589266611,31.9255453585,98302,6983
113.589264758,31.9455499671,93850,6604
113.589262903,31.9655546431,96093,8144
113.589261047,31.9855593548,93140,7802
113.58925919,32.0055640704,92673,7781
113.589257331,32.0255687582,84077,7237
113.58925547,32.045573386,83014,7141
113.589253608,32.0655779223,81653,7078
113.589251744,32.0855823356,81233,7392
113.589249879,32.1055865946,81057,9384
113.589248013,32.1255906689,81681,9841
113.589246145,32.1455945284,68516,6133
113.589244275,32.1655981438,68981,6301
113.589242404,32.1856014866,66820,6581
113.589240531,32.2056045292,67904,6570
113.589238657,32.2256072452,67904,6567
113.589236781,32.2456096092,61957,6559
113.589234904,32.2656115969,61408,6432
113.589233025,32.2856131855,59687,6130
113.589231145,32.3056143535,60439,6006
113.589229263,32.3256150809,59474,5729
113.589227379,32.3456153493,57849,5498
113.589225494,32.3656151418,61029,5812
113.589223608,32.3856144431,64934,6118
113.58922172,32.4056132399,81513,4636
113.58921983,32.4256115205,79937,4438
113.589217939,32.4456092748,80863,4446
113.589216047,32.4656064949,83183,4660
113.589214152,32.4856031746,85677,4837
113.589212257,32.5055993096,76356,5075
113.589210359,32.5255948973,79697,4628
113.58920846,32.5455899375,80652,4888
113.58920656,32.5655844313,79607,4520
113.589204658,32.585578382,79662,4506
113.589202755,32.6055717948,80848,4648
113.589200849,32.6255646766,85077,5186
113.609293876,31.6454978148,108821,8007
113.609292044,31.6654985511,105989,7538
113.60929021,31.6854997127,101924,7071
113.609288375,31.7055012823,103927,6994
113.609286539,31.7255032408,104756,7065
113.6092847,31.7455055677,85285,6622
113.609282861,31.7655082411,84527,6570
113.60928102,31.7855112376,82879,6438
113.609279177,31.8055145326,84239,6511
113.609277333,31.8255181003,89661,6908
113.609275487,31.8455219139,91779,6803
113.60927364,31.8655259454,91725,6888
113.609271792,31.8855301662,95494,7329
113.609269942,31.9055345465,106652,7804
113.60926809,31.9255390562,88135,6172
113.609266237,31.9455436645,89313,6247
113.609264382,31.9655483401,89427,6237
113.609262526,31.9855530515,92580,6527
113.609260669,32.0055577668,94602,6662
113.609258809,32.0255624542,95380,8089
113.609256949,32.0455670817,85706,7457
113.609255087,32.0655716176,88883,7727
113.609253223,32.0855760305,85923,7403
113.609251358,32.1055802893,76744,8643
113.609249491,32.1255843632,80457,9346
113.609247623,32.1455882224,67428,6052
113.609245753,32.1655918374,65387,5916
113.609243882,32.1855951799,66455,6246
113.609242009,32.2055982222,67904,6567
113.609240135,32.2256009378,65665,6290
113.609238259,32.2456033014,58790,6668
113.609236381,32.2656052888,59269,6079
113.609234503,32.2856068771,57741,5966
113.609232622,32.3056080447,62627,6295
113.60923074,32.3256087718,59616,5935
113.609228857,32.3456090399,56120,5370
113.609226972,32.365608832,65505,6185
113.609225085,32.385608133,84071,4865
113.609223197,32.4056069295,82231,4822
113.609221307,32.4256052097,78975,4347
113.609219416,32.4456029637,79243,4364
113.609217523,32.4656001834,76311,4452
113.609215629,32.4855968628,72900,4143
113.609213733,32.5055929974,73754,4200
113.609211836,32.5255885848,77461,4464
113.609209937,32.5455836246,77917,4668
113.609208036,32.5655781181,77022,4296
113.609206134,32.5855720685,81140,5319
113.60920423,32.6055654809,80236,4536
113.609202325,32.6255583624,82825,5212
113.629278166,31.6454763004,102282,7018
113.62927633,31.6654770364,100217,6856
113.629274492,31.6854781977,99378,6863
113.629272653,31.705479767,101247,6789
113.629270813,31.7254817252,102544,6929
113.629268971,31.7454840518,88002,6902
113.629267128,31.7654867249,81717,6296
113.629265283,31.7854897211,80000,6164
113.629263436,31.8054930159,81731,6384
113.629261588,31.8254965833,82850,6928
113.629259739,31.8455003966,89678,6657
113.629257888,31.8655044278,90191,6813
113.629256036,31.8855086483,92217,7061
113.629254182,31.9055130283,85838,6144
113.629252326,31.9255175377,84844,5841
113.629250469,31.9455221457,87203,6080
113.629248611,31.9655268211,88491,6188
113.629246751,31.9855315321,92205,6478
113.629244889,32.0055362472,95359,6711
113.629243026,32.0255409342,94872,8058
113.629241162,32.0455455615,92270,7847
113.629239296,32.0655500971,89889,7690
113.629237428,32.0855545097,74960,8071
113.629235559,32.1055587682,74288,8034
113.629233689,32.1255628418,70571,6559
113.629231817,32.1455667007,65744,5980
113.629229943,32.1655703154,64005,5852
113.629228068,32.1855736576,64801,6115
113.629226191,32.2055766996,66682,6277
113.629224313,32.225579415,65212,6235
113.629222433,32.2455817783,58858,6700
113.629220552,32.2655837653,57775,6317
113.629218669,32.2855853533,55394,5696
113.629216785,32.3055865207,64216,6450
113.629214899,32.3255872475,55717,5363
113.629213011,32.3455875152,54415,5192
113.629211123,32.3655873071,56185,5570
113.629209232,32.3855866078,59912,5887
113.62920734,32.405585404,79179,4481
113.629205446,32.4255836839,76397,4219
113.629203551,32.4455814376,76182,4126
113.629201655,32.4655786571,74566,4504
113.629199756,32.4855753361,70966,3995
113.629197857,32.5055714704,70818,3981
113.629195955,32.5255670576,75113,4313
113.629194052,32.5455620971,76436,4356
113.629192148,32.5655565902,74658,4126
113.629190242,32.5855505403,77075,4294
113.629188334,32.6055439525,81016,4618
113.629186425,32.6255368337,82795,4774
113.649250286,31.6454438788,101775,7050
113.649248443,31.6654446145,97870,6671
113.6492466,31.6854457756,97165,6623
113.649244754,31.7054473446,99128,6662
113.649242907,31.7254493026,86288,6053
113.649241059,31.7454516289,83583,6301
113.649239209,31.7654543018,81360,6175
113.649237358,31.7854572977,78879,6003
113.649235505,31.8054605922,79131,6111
113.649233651,31.8254641594,85920,6391
113.649231795,31.8454679724,86997,6360
113.649229937,31.8654720034,89750,6768
113.649228079,31.8854762235,82276,5940
113.649226218,31.9054806033,82397,5683
113.649224356,31.9254851125,83691,5770
113.649222493,31.9454897202,87144,6197
113.649220628,31.9654943953,88724,6414
113.649218761,31.9854991061,90993,6610
113.649216894,32.0055038209,95628,6746
113.649215024,32.0255085077,93990,8013
113.649213153,32.0455131347,92603,7881
113.64921128,32.0655176701,91288,8273
113.649209406,32.0855220824,74181,7882
113.649207531,32.1055263406,71799,7551
113.649205654,32.125530414,68912,6761
113.649203775,32.1455342726,66648,6121
113.649201895,32.1655378871,62979,5774
113.649200013,32.185541229,61228,5661
113.64919813,32.2055442707,61551,5637
113.649196245,32.2255469859,63637,5996
113.649194359,32.2455493489,58877,6696
113.649192471,32.2655513357,57310,6220
113.649190582,32.2855529234,53234,5345
113.649188691,32.3055540905,52452,5272
113.649186798,32.3255548171,53424,5107
113.649184904,32.3455550846,52164,5037
113.649183009,32.3655548762,54273,5310
113.649181111,32.3855541766,57453,5768
113.649179213,32.4055529725,79642,4710
113.649177313,32.4255512522,77273,4336
113.649175411,32.4455490056,74168,4026
113.649173507,32.4655462248,71636,3884
113.649171603,32.4855429036,68610,3670
113.649169696,32.5055390377,67911,3746
113.649167788,32.5255346246,70085,3854
113.649165879,32.5455296638,71213,3910
113.649163967,32.5655241567,74608,4144
113.649162055,32.5855181066,75921,4269
113.64916014,32.6055115185,80011,4629
113.649158225,32.6255043994,80573,4742
113.66921684,31.6454062141,85680,6302
113.66921499,31.6654069495,95877,6456
113.669213138,31.6854081104,96466,6493
113.669211285,31.7054096791,99447,6730
113.669209431,31.7254116369,84051,5798
113.669207575,31.745413963,84966,6014
113.669205717,31.7654166356,83997,6344
113.669203858,31.7854196313,78773,5718
113.669201998,31.8054229255,81002,6267
113.669200136,31.8254264924,85145,6254
113.669198272,31.8454303052,81774,6134
113.669196407,31.865434336,79303,5595
113.669194541,31.8854385559,79651,5499
113.669192673,31.9054429354,79643,5487
113.669190803,31.9254474443,84806,5879
113.669188932,31.9454520518,86449,6301
113.669187059,31.9654567267,89728,6498
113.669185185,31.9854614373,90993,6610
113.66918331,32.0054661518,57443,5717
113.669181432,32.0254708383,63589,6719
113.669179554,32.0454754651,65601,6994
113.669177673,32.0654800002,91288,8273
113.669175792,32.0854844123,71375,7514
113.669173908,32.1054886703,71375,7514
113.669172023,32.1254927434,71174,7080
113.669170137,32.1454966018,69175,6704
113.669168249,32.165500216,63273,6009
113.669166359,32.1855035577,59686,5514
113.669164468,32.2055065992,61443,5672
113.669162576,32.2255093141,56067,5450
113.669160682,32.2455116769,55687,5596
113.669158786,32.2655136635,51810,5277
113.669156889,32.2855152509,51637,5271
113.66915499,32.3055164178,51064,5078
113.66915309,32.3255171441,51755,4979
113.669151188,32.3455174114,51342,4942
113.669149285,32.3655172027,54130,5351
113.66914738,32.3855165029,57125,5724
113.669145473,32.4055152986,60189,6043
113.669143565,32.425513578,77332,4388
113.669141655,32.4455113312,78212,4474
113.669139744,32.4655085502,73932,4361
113.669137831,32.4855052287,70910,3991
113.669135917,32.5055013626,117546,5427
113.669134001,32.5254969492,68130,3684
113.669132084,32.5454919882,71233,3915
113.669130165,32.5654864809,73398,4113
113.669128244,32.5854804305,75568,4322
113.669126322,32.6054738422,77761,4724
113.669124398,32.6254667228,84701,5963
113.68918506,31.6453695112,81309,5928
113.689183203,31.6653702464,91786,6127
113.689181344,31.685371407,80288,5638
113.689179484,31.7053729755,79196,5484
113.689177623,31.725374933,80650,5495
113.689175759,31.7453772589,83042,5680
113.689173895,31.7653799312,85745,5964
113.689172028,31.7853829266,77065,5565
113.689170161,31.8053862206,73083,5281
113.689168291,31.8253897873,75149,5399
113.68916642,31.8453935999,77378,5423
113.689164548,31.8653976304,75713,5228
113.689162674,31.88540185,76907,5319
113.689160799,31.9054062293,79328,5662
113.689158922,31.925410738,83065,5696
113.689157044,31.9454153453,87378,6692
113.689155164,31.9654200198,59275,5986
113.689153282,31.9854247302,57585,5741
113.689151399,32.0054294445,57391,5710
113.689149515,32.0254341308,63447,6685
113.689147628,32.0454387573,64759,6912
113.689145741,32.0654432922,53669,5948
113.689143852,32.085447704,52040,5699
113.689141961,32.1054519617,74767,7984
113.689140069,32.1254560347,72239,7200
113.689138175,32.1454598928,67625,6476
113.689136279,32.1654635068,63722,6032
113.689134383,32.1854668482,61406,5857
113.689132484,32.2054698895,56540,5277
113.689130584,32.2254726041,55514,5258
113.689128683,32.2454749666,53306,5332
113.689126779,32.265476953,52574,5258
113.689124875,32.2854785402,49768,5056
113.689122969,32.3054797068,50073,4977
113.689121061,32.3254804329,47771,4694
113.689119151,32.3454806999,49816,5317
113.689117241,32.365480491,56160,5615
113.689115328,32.385479791,59599,6087
113.689113414,32.4054785864,60676,6265
113.689111498,32.4254768655,79195,4569
113.689109581,32.4454746185,79461,4567
113.689107663,32.4654718373,78209,4669
113.689105742,32.4854685156,71931,3919
113.68910382,32.5054646491,69333,3748
113.689101897,32.5254602356,70107,3961
113.689099972,32.5454552743,72254,3997
113.689098045,32.5654497667,73088,4035
113.689096117,32.5854437161,75817,4262
113.689094187,32.6054371275,79197,4742
113.689092256,32.6254300079,82789,5628
113.709161775,31.6453396292,80077,5756
113.709159913,31.6653403642,77451,5452
113.709158048,31.6853415245,77457,5345
113.709156183,31.7053430928,77725,5317
113.709154316,31.72534505,73583,5725
113.709152447,31.7453473756,75406,5937
113.709150577,31.7653500477,86403,6050
113.709148705,31.7853530429,72387,5663
113.709146832,31.8053563366,69962,5259
113.709144957,31.825359903,72524,5062
113.709143081,31.8453637153,71622,4965
113.709141203,31.8653677455,73886,5124
113.709139324,31.8853719649,77081,5368
113.709137443,31.905376344,80316,5738
113.709135561,31.9253808524,82462,6118
113.709133677,31.9453854594,86862,6184
113.709131791,31.9653901337,58084,5727
113.709129904,31.9853948437,56805,5665
113.709128016,32.0053995578,55584,5551
113.709126126,32.0254042438,57850,5866
113.709124234,32.04540887,64537,6897
113.709122341,32.0654134047,52223,5707
113.709120446,32.0854178163,50530,5573
113.70911855,32.1054220737,76080,8105
113.709116652,32.1254261464,68698,6785
113.709114753,32.1454300042,54583,5481
113.709112852,32.1654336179,52030,5021
113.70911095,32.1854369591,50668,4794
113.709109046,32.2054400001,56742,5475
113.70910714,32.2254427145,54487,5191
113.709105233,32.2454450768,52454,5052
113.709103324,32.2654470628,49531,4818
113.709101414,32.2854486498,48554,4876
113.709099502,32.3054498161,46436,4613
113.709097589,32.3254505419,46412,4682
113.709095674,32.3454508087,49377,5071
113.709093757,32.3654505995,51271,5323
113.709091839,32.3854498992,53772,5650
113.70908992,32.4054486944,57922,6390
113.709087999,32.4254469733,81160,4764
113.709086076,32.445444726,79167,4711
113.709084151,32.4654419444,77440,4504
113.709082226,32.4854386225,75401,4169
113.709080298,32.5054347558,70743,3867
113.709078369,32.5254303419,72159,4190
113.709076438,32.5454253804,72922,4336
113.709074506,32.5654198726,75657,4314
113.709072572,32.5854138217,76049,4210
113.709070637,32.6054072328,79135,4487
113.7090687,32.625400113,81673,4999
113.72915243,31.6453212471,87319,5949
113.729150565,31.6653219817,75901,5351
113.729148698,31.6853231417,74399,5111
113.72914683,31.7053247097,71391,5259
113.729144961,31.7253266666,71364,5473
113.72914309,31.7453289919,68891,5096
113.729141217,31.7653316637,67995,4877
113.729139343,31.7853346586,66184,4631
113.729137467,31.805337952,66885,4642
113.72913559,31.8253415181,69550,4836
113.729133711,31.8453453301,71934,4995
113.729131831,31.86534936,74811,5288
113.729129949,31.8853535791,81346,6446
113.729128066,31.9053579578,82872,6159
113.729126181,31.9253624659,85121,6539
113.729124295,31.9453670726,70586,7120
113.729122407,31.9653717466,67657,6542
113.729120518,31.9853764564,57938,5907
113.729118627,32.0053811701,52905,5146
113.729116734,32.0253858559,53272,5183
113.72911484,32.0453904818,61602,6377
113.729112944,32.0653950161,64598,6884
113.729111047,32.0853994274,50082,5554
113.729109148,32.1054036846,45295,4790
113.729107248,32.1254077569,70379,7428
113.729105346,32.1454116144,69791,7165
113.729103443,32.1654152279,51827,5185
113.729101538,32.1854185687,49027,4606
113.729099632,32.2054216094,47019,4179
113.729097724,32.2254243235,55919,5299
113.729095814,32.2454266855,56121,5322
113.729093903,32.2654286712,50065,5171
113.72909199,32.2854302579,46024,4649
113.729090076,32.305431424,44679,4484
113.72908816,32.3254321495,44728,4569
113.729086243,32.3454324159,46520,4847
113.729084324,32.3654322064,52752,5624
113.729082403,32.3854315058,50613,5204
113.729080481,32.4054303007,56890,6054
